Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Price,Collection Sold Price,Collection Notes
CL 1952,Frankie Yankovic And His Yanks,Your Favorite Polkas,Columbia,"LP, Album, Mono",,1963,6086629,Record Collection #109,2026-01-19 08:11:46,,,
CL 6017,Gene Krupa And His Orchestra,Gene Krupa,Columbia,"10"", Album, RP",,0,11630149,Record Collection #107,2025-12-19 11:37:18,,,
CL 6066,Gene Krupa And His Orchestra,Gene Krupa Dance Parade,Columbia,"10"", Comp",,1949,5204287,Record Collection #107,2025-12-19 11:50:07,,,
CL 667,Erroll Garner,Plays For Dancing,Columbia,"LP, Album, Mono, RE",,1958,2465443,Record Collection #105,2025-09-26 15:09:04,,,
CL 787,Enrique Villegas,Introducing Villegas,Columbia,"LP, Album, Mono, Lam",,1956,10244551,Record Collection #108,2026-01-19 06:59:20,,,
CS 1021,Jerry Vale,Let It Be,Columbia,"LP, Album, Pit",,1970,1608418,Record Collection #111,2026-01-23 18:34:29,,,
CS 1025,Lynn Anderson,Stay There 'Til I Get There,Columbia,"LP, Album, San",,1970,1898810,Record Collection #111,2026-01-23 18:47:26,,,A
CS 8021,Johnny Mathis With Percy Faith & His Orchestra,Merry Christmas,Columbia,"LP, Album, RE",,1967,1577725,Record Collection #109,2026-01-19 10:26:23,,,
CS 8257,The Dave Brubeck Quartet,Bernstein Plays Brubeck Plays Bernstein,Columbia,"LP, Pit",,1960,12987208,Record Collection #106,2025-11-21 07:03:06,,,
CS 8639,Marty Robbins,Marty's Greatest Hits,Columbia,"LP, Comp, RE, RM",,0,12300842,Record Collection #117,2026-04-02 16:08:43,3,,A
CS 8728,Les Paul & Mary Ford,Swingin' South,Columbia,"LP, Album",,1963,15518771,Record Collection #109,2026-01-19 08:25:23,,,
CS 8749,Ray Conniff And His Orchestra & Chorus,The Happy Beat,Columbia,"LP, Album",,1963,10390546,Record Collection #109,2026-01-19 10:04:56,,,A
CS 9276,Eydie Gormé,Don't Go To Strangers,Columbia,"LP, Album",,1966,2602374,Record Collection #111,2026-01-23 16:25:25,,,A
CS 9326,Patti Page,Patti Page's Greatest Hits,Columbia,"LP, Album, San",,1966,18505384,Record Collection #111,2026-01-23 14:57:48,,,A
CS 9358,Jim Nabors,Jim Nabors Sings Love Me With All Your Heart,Columbia,"LP, Album",,1966,1534660,Record Collection #111,2026-01-23 18:17:01,,,A
CS 9409,André Kostelanetz And His Orchestra,The Kostelanetz Sound Of Today,Columbia,"LP, Album",,1967,2176025,Record Collection #111,2026-01-30 08:18:10,,,A
CS 9574,Jerry Vale,You Don't Have To Say You Love Me,Columbia,"LP, Album",,1968,4402718,Record Collection #111,2026-01-25 16:02:42,,,
CS 9612,Gary Puckett & The Union Gap,"Woman, Woman",Columbia,"LP, Album",,1968,31925707,Record Collection #111,2026-01-25 16:00:09,,,A
CS 9666,Patti Page,Gentle On My Mind,Columbia,"LP, Album, Ter",,1968,4694068,Record Collection #111,2026-01-23 18:52:07,,,A
